k,cycle_closure_error,gauge_to_shift_error,gauge_phase_commutator_error,dressed_weyl_relation_error,total_traversal_phase,trial,seed
2,2.0722348017843798e-19,2.0722348017843798e-19,0.0,2.220446049250313e-16,0.0,71,1651467199
2,3.5095297553212386e-17,3.5095297553212386e-17,0.0,2.220446049250313e-16,0.0,72,3136462706
2,1.5702466383526308e-16,1.5702466383526308e-16,0.0,3.1401849173675503e-16,0.0,73,3829432034
2,8.916149161805253e-19,8.916149161805253e-19,0.0,2.463307335887066e-16,0.0,74,1703473509
2,3.7021205444139565e-18,3.7021205444139565e-18,0.0,2.220446049250313e-16,0.0,75,863095815
2,3.341503046523251e-17,3.341503046523251e-17,0.0,3.1401849173675503e-16,0.0,76,1704518597
2,1.4347152059292584e-17,1.4347152059292584e-17,0.0,3.1401849173675503e-16,0.0,77,1417259041
2,3.904790897627531e-18,3.904790897627531e-18,0.0,3.1401849173675503e-16,0.0,78,1447551123
2,1.9334167630947918e-17,1.9334167630947918e-17,0.0,2.220446049250313e-16,0.0,79,4158935233
2,1.420836099400548e-17,1.420836099400548e-17,0.0,2.220446049250313e-16,0.0,80,539260559
2,1.89373129914201e-17,1.89373129914201e-17,0.0,2.220446049250313e-16,0.0,81,1460520539
2,3.2820099034599195e-17,3.2820099034599195e-17,0.0,2.220446049250313e-16,0.0,82,491271919
2,1.6080026013513394e-16,1.6080026013513394e-16,0.0,2.220446049250313e-16,0.0,83,1754324778
2,2.78865232147884e-17,2.78865232147884e-17,0.0,2.220446049250313e-16,0.0,84,4134637050
2,3.317592328767933e-17,3.317592328767933e-17,0.0,2.220446049250313e-16,0.0,85,208812177
2,1.6027088514780535e-16,1.6027088514780535e-16,0.0,3.1401849173675503e-16,0.0,86,3989792231
2,1.4872088614682968e-17,1.4872088614682968e-17,0.0,3.1401849173675503e-16,0.0,87,1181642272
2,1.570371059076371e-16,1.570371059076371e-16,0.0,2.498001805406602e-16,0.0,88,1692962863
2,1.2244417270021207e-17,1.2244417270021207e-17,0.0,3.1401849173675503e-16,0.0,89,3585308551
2,7.318978997758615e-18,7.318978997758615e-18,0.0,2.220446049250313e-16,0.0,90,634254102
2,8.295698298801238e-18,8.295698298801238e-18,0.0,2.498001805406602e-16,0.0,91,2389077620
2,3.540428987524027e-17,3.540428987524027e-17,0.0,2.220446049250313e-16,0.0,92,1714716251
2,1.412117843102383e-17,1.412117843102383e-17,0.0,3.1401849173675503e-16,0.0,93,1281181288
2,1.5704642550931272e-16,1.5704642550931272e-16,0.0,3.1401849173675503e-16,0.0,94,3705127845
2,1.5751373061647027e-17,1.5751373061647027e-17,0.0,2.220446049250313e-16,0.0,95,3811960534
2,3.702573298786847e-18,3.702573298786847e-18,0.0,3.1401849173675503e-16,0.0,96,3161282016
2,5.019527860925989e-18,5.019527860925989e-18,0.0,2.498001805406602e-16,0.0,97,2886767331
2,1.577882596308667e-16,1.577882596308667e-16,0.0,2.220446049250313e-16,0.0,98,1883210858
2,2.368274202741014e-19,2.368274202741014e-19,0.0,2.445960101127298e-16,0.0,99,2189570249
3,1.169401175806099e-16,3.0131672746070716e-17,1.1102230246251565e-16,6.497413668604471e-16,0.0,0,3873621027
3,5.808785753470069e-17,3.7697993563905776e-17,0.0,8.15843973306311e-16,0.0,1,3530999910
3,2.258823787381344e-16,3.1522590225201353e-16,2.7755575615628914e-17,6.497413668604471e-16,0.0,2,441869283
3,1.9580443004299656e-16,1.6239554841645906e-16,0.0,7.195067539997724e-16,0.0,3,3013387983
3,2.7171366540419443e-18,1.1116096288113732e-16,1.1102230246251565e-16,7.0521150011141625e-16,0.0,4,112995906
3,2.400522879235722e-16,2.8173544825903606e-17,0.0,7.235439911526185e-16,0.0,5,3556670352
3,2.7127212345519334e-16,2.6106076498462077e-16,5.551115123125783e-17,6.664589960562512e-16,0.0,6,3185253825
3,2.242416038490498e-16,2.24256542037439e-16,0.0,7.928578270080922e-16,0.0,7,271864569
3,4.168277891703883e-17,2.1725029792188217e-17,5.551115123125783e-17,6.004449063730082e-16,0.0,8,2334584668
3,3.9460739712173996e-16,2.292295879384406e-16,5.204170427930421e-18,6.620737537031165e-16,0.0,9,2738439918
3,4.238746640543368e-17,2.1463725849667163e-17,2.7755575615628914e-17,6.753223014464259e-16,0.0,10,507438815
3,4.932392349280117e-16,2.421348310339383e-16,1.1443916996305594e-16,6.497413668604471e-16,0.0,11,867718732
3,3.0922028621455673e-17,2.636064291972104e-17,0.0,7.447602459741819e-16,0.0,12,3584055551
3,2.326472563472237e-16,3.160828812439552e-16,0.0,6.50667003946661e-16,0.0,13,984006226
3,4.434891861956935e-17,1.1637777057651522e-16,1.1102230246251565e-16,6.4796043696850615e-16,0.0,14,2493106884
3,2.860209552988336e-16,2.277251533490141e-16,5.551115123125783e-17,6.004449063730082e-16,0.0,15,3285363519
3,1.9784686070585578e-16,2.753783334581811e-16,6.206335383118183e-17,7.28021923224409e-16,0.0,16,758620442
3,1.8334073634160948e-16,4.86689236781643e-17,5.551115123125783e-17,7.452772611325793e-16,0.0,17,400871049
3,7.721107771656606e-17,1.1328124048684032e-16,1.3877787807814457e-17,7.136273716335401e-16,0.0,18,900715638
3,1.1585088783730436e-16,3.614134613903054e-17,4.163336342344337e-17,6.805778071794071e-16,0.0,19,3890101245
3,4.34456052068381e-17,1.1387583521104341e-16,1.1102230246251565e-16,6.106226635438361e-16,0.0,20,1983570171
3,9.183329481897123e-17,1.2010194373253843e-16,0.0,7.043575467574348e-16,0.0,21,1322695562
3,3.5395304938960045e-17,3.607448536691365e-17,1.1102230246251565e-16,6.661338147750939e-16,0.0,22,2667427441
3,1.7176859861571907e-16,1.6915912561968377e-16,1.1102230246251565e-16,7.165898906782364e-16,0.0,23,1832327154
3,1.3005514801692753e-16,1.2318528077161068e-16,5.551115123125783e-17,7.369614944603283e-16,0.0,24,3137029323
3,1.581713438961427e-16,1.118593136739179e-16,5.551115123125783e-17,6.707796830983091e-16,0.0,25,1692989419
3,4.003273608151764e-16,3.1443949395726027e-16,6.938893903907228e-18,6.866350197783356e-16,0.0,26,2071616435
3,5.080296083646901e-17,3.739773597694505e-17,1.1188630228279524e-16,6.473657049138938e-16,0.0,27,3636715418
3,1.3380616081266256e-17,5.955325288371422e-18,1.1102230246251565e-16,7.248404575000198e-16,0.0,28,1132717674
3,9.986573504008782e-18,1.244940186465452e-17,4.85722573273506e-17,5.688200336284365e-16,0.0,29,3735761123
3,1.659499531815797e-17,1.12283932644599e-16,0.0,6.23193825493439e-16,0.0,30,3290600132
3,9.300637323180459e-18,7.798422900800898e-18,5.551115123125783e-17,6.568167990716596e-16,0.0,31,2455798582
3,1.1885608838452379e-16,3.729374129922876e-17,0.0,6.4796043696850615e-16,0.0,32,1021026458
3,1.1346075532736035e-16,1.120209486392705e-17,1.2412670766236366e-16,7.114312260401321e-16,0.0,33,2732606025
3,7.57172135375134e-17,1.240549524906654e-16,1.2412670766236366e-16,7.28021923224409e-16,0.0,34,1888372311
3,1.6911793283449754e-16,1.0446543290404338e-17,0.0,7.109657874796666e-16,0.0,35,75399239
3,5.0786783708216276e-17,3.064024161299291e-17,0.0,6.131407058289218e-16,0.0,36,1935139261
3,3.169754890473394e-16,3.156773271512403e-16,0.0,5.555016879717332e-16,0.0,37,1233750903
3,4.8713084526748223e-17,1.3793213017605767e-17,0.0,7.135936359693696e-16,0.0,38,1772465993
3,1.773596900785808e-16,1.7524448184858368e-16,0.0,6.348993127734889e-16,0.0,39,1717265319
3,1.6761126705477725e-16,1.6759689936299338e-16,0.0,6.497413668604471e-16,0.0,40,2146653085
3,3.598591238475231e-17,4.041084550999839e-17,1.1102230246251565e-16,6.764620867324401e-16,0.0,41,93312174
3,1.1454309347965191e-16,1.5884097746314617e-16,2.0816681711721685e-17,6.336847744776094e-16,0.0,42,1260439400
3,2.225409485264533e-16,3.142109546392509e-16,1.1102230246251565e-16,6.628005886499562e-16,0.0,43,1558851828
3,1.3790788783608575e-16,2.3837694725221115e-16,7.850462293418876e-17,6.568167990716596e-16,0.0,44,780352392
3,2.1089788135310392e-16,1.161306450310475e-16,1.1102230246251565e-16,6.482947339859429e-16,0.0,45,641214672
3,1.2351572458273374e-16,1.1986649637514988e-16,1.1102230246251565e-16,6.463236069784172e-16,0.0,46,2432161751
3,1.1879748805142887e-16,1.6219009558292676e-16,0.0,6.64260933159002e-16,0.0,47,1890709704
3,4.6014653055536645e-17,1.4983876967738337e-17,5.551115123125783e-17,7.108895957933346e-16,0.0,48,510330106
3,1.8409886705955547e-16,1.7694472559676665e-16,0.0,6.77599954797753e-16,0.0,49,4141968914
3,1.251463414319516e-16,1.3000288771211963e-16,0.0,6.758924343478424e-16,0.0,50,3327157337
3,6.392162520635284e-17,3.4643792596952394e-17,1.1102230246251565e-16,6.568167990716596e-16,0.0,51,1672941513
3,2.4964438047558753e-16,1.5763741210907843e-16,0.0,6.435239593767006e-16,0.0,52,1061760564
3,1.602797096261487e-16,1.5703395176117424e-16,0.0,6.843874359417885e-16,0.0,53,1264253485
3,2.6879351455574867e-17,3.0980166204768596e-17,5.551115123125783e-17,7.195067539997724e-16,0.0,54,604651621
3,7.215704814967758e-17,2.44869636751539e-17,7.850462293418876e-17,6.591583993652515e-16,0.0,55,2075757219
3,1.591249528139761e-16,1.5796990830361926e-16,0.0,6.206335383118183e-16,0.0,56,4013531015
3,1.0665626596554095e-16,9.32844531936321e-17,1.1102230246251565e-16,5.978733960281817e-16,0.0,57,3186342738
3,1.4969073895498776e-16,1.298451806452088e-16,6.206335383118183e-17,7.195067539997724e-16,0.0,58,3980396866
3,7.470838188277573e-17,7.204599214600635e-17,0.0,6.473657049138938e-16,0.0,59,827220608
3,3.536465763107583e-17,1.1470352858218648e-16,0.0,5.933464366067994e-16,0.0,60,635678682
3,1.4557542480579684e-16,2.432168964108071e-17,4.163336342344337e-17,6.4018582627671775e-16,0.0,61,362142950
3,1.678528876431921e-16,1.682656704361188e-16,1.1102230246251565e-16,6.106226635438361e-16,0.0,62,2593680670
3,3.8586373341162564e-17,2.7189231345141008e-17,0.0,6.280369834735101e-16,0.0,63,3268092669
3,9.690143659319063e-17,5.414262546857351e-17,1.734723475976807e-17,6.521083742145178e-16,0.0,64,860542932
3,1.6874731499408714e-16,1.2440778868929248e-16,4.163336342344337e-17,6.497413668604471e-16,0.0,65,3623610612
3,1.7197236819307537e-16,1.5835482881398317e-16,1.5700924586837752e-16,6.753223014464259e-16,0.0,66,3797685218
3,2.5314389713421683e-16,2.041884007298844e-16,0.0,7.032629733738598e-16,0.0,67,3187596591
3,3.8724439269215395e-16,2.2372929789062915e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0,68,679674186
3,2.159452204044855e-16,1.4676398100190195e-16,0.0,7.027150473277823e-16,0.0,69,8060084
3,1.9872864454974203e-16,2.063936873559716e-16,0.0,6.131407058289218e-16,0.0,70,3468036496
3,2.7429336311481877e-17,5.434276713396309e-18,5.551115123125783e-17,6.921399933463466e-16,0.0,71,4019151252
3,1.6812521525198133e-16,1.6334889612858675e-16,1.1102230246251565e-16,7.200419022730857e-16,0.0,72,3209042080
3,5.529806064149061e-16,3.654192036245036e-16,0.0,5.292243023166206e-16,0.0,73,832689434
3,4.8784876725457436e-17,2.2671038295034907e-16,0.0,7.195067539997724e-16,0.0,74,2222535328
3,2.123373972995478e-16,1.644295078722229e-16,2.7755575615628914e-17,7.28021923224409e-16,0.0,75,2533690754
3,1.1561366818561633e-17,1.151881535649199e-16,2.7755575615628914e-17,6.280369834735101e-16,0.0,76,4170335412
3,1.4050052584005302e-16,1.0345101665494443e-16,0.0,6.526987848146008e-16,0.0,77,942113276
3,1.2892410995705213e-16,1.2081311154079443e-16,1.3877787807814457e-17,7.301351988545593e-16,0.0,78,1287946395
3,1.157812046143927e-16,1.6034475452920415e-16,0.0,7.130536482749599e-16,0.0,79,809884500
3,2.2623267601378787e-16,2.260779103467021e-16,1.1443916996305594e-16,7.200419022730857e-16,0.0,80,3281473655
3,2.231864110073288e-16,5.948894137800537e-18,0.0,6.421383037113634e-16,0.0,81,4033680847
3,2.30542869296116e-16,2.790801070662311e-17,1.1102230246251565e-16,7.114312260401321e-16,0.0,82,443473719
3,4.8380848889978756e-17,9.888092635059055e-18,0.0,6.106226635438361e-16,0.0,83,3505645182
3,3.698890139319304e-17,1.1637864022672876e-16,1.1102230246251565e-16,7.195067539997724e-16,0.0,84,2535039983
3,8.402147043297752e-16,5.142752125397131e-16,0.0,6.843874359417885e-16,0.0,85,547346070
3,2.0404240490414777e-17,1.5553642637799836e-17,0.0,7.001065424966057e-16,0.0,86,246516400
3,1.8097123158959243e-17,2.0977285173292073e-17,1.1102230246251565e-16,6.131407058289218e-16,0.0,87,2926602999
3,1.6042773655727147e-16,1.382577491194782e-16,6.938893903907228e-17,5.661048867003676e-16,0.0,88,2519746359
3,9.262217512580881e-17,3.903746293871557e-17,1.1102230246251565e-16,6.591583993652515e-16,0.0,89,6978814
3,1.9563461818693834e-16,1.9724037916684414e-16,0.0,6.473657049138938e-16,0.0,90,3032055116
3,2.073946426096812e-16,1.7367745268627085e-16,5.551115123125783e-17,7.228449307508887e-16,0.0,91,1875176902
3,7.916975626788585e-17,1.5741016635088315e-17,1.1102230246251565e-16,6.41538174324453e-16,0.0,92,2154276657
3,2.0738597287861102e-16,1.4432332055899297e-16,0.0,6.4796043696850615e-16,0.0,93,3039941868
3,1.942182677996681e-16,1.6088813287774215e-16,2.7755575615628914e-17,6.866350197783356e-16,0.0,94,3142858427
3,1.6008211696439408e-16,1.1435810302481784e-16,0.0,6.521083742145178e-16,0.0,95,1271852190
3,1.3743331187936086e-16,1.6022154448786426e-16,0.0,7.468261590855957e-16,0.0,96,2499872071
3,1.6463393520094137e-16,1.5795423941868254e-16,0.0,7.216449660063518e-16,0.0,97,4096607464
3,8.779457905476455e-17,2.7816246355067527e-17,0.0,6.515543783841503e-16,0.0,98,1804295001
3,3.098190583716468e-17,2.5609863574700314e-17,1.2412670766236366e-16,6.126693612064115e-16,0.0,99,1212327279
4,2.3551386880256624e-16,1.1102230246251565e-16,0.0,1.5700924586837752e-16,0.0,0,3907295205
4,3.236828524569469e-16,3.1401849173675503e-16,0.0,2.9373740229761033e-16,0.0,1,1663277035
4,3.236828524569469e-16,7.850462293418876e-17,0.0,2.237742855433856e-16,0.0,2,177612901
4,2.482534153247273e-16,5.551115123125783e-17,0.0,2.9373740229761033e-16,0.0,3,3295772059
4,3.597533769998862e-16,3.3423151799601486e-16,0.0,2.482534153247273e-16,0.0,4,1932193297
4,1.9179876582127752e-16,1.6653345369377348e-16,0.0,2.220446049250313e-16,0.0,5,2981299651
4,2.9373740229761033e-16,2.0014830212433605e-16,0.0,2.7194799110210365e-16,0.0,6,1060531876
4,8.777083671441753e-17,1.2412670766236366e-16,0.0,2.4827765763866867e-16,0.0,7,4089006211
4,0.0,1.2412670766236366e-16,0.0,2.9373742230688225e-16,0.0,8,1291226570
4,1.5731560566382466e-16,1.1123893155135927e-16,0.0,2.220446049250313e-16,0.0,9,365741765
4,1.1102230246251565e-16,1.2412670766236366e-16,0.0,2.220446049250313e-16,0.0,10,1946282852
4,3.597533769998862e-16,7.850462293418876e-17,0.0,1.6004645656917944e-16,0.0,11,2964631575
4,3.3306690738754696e-16,1.1102230246251565e-16,0.0,2.482534153247273e-16,0.0,12,3114479403
4,2.220446049250313e-16,1.2412670766236366e-16,0.0,1.5704757352569647e-16,0.0,13,2061937293
4,1.1102230246251565e-16,5.551115123125783e-17,0.0,2.445960101127298e-16,0.0,14,1374597451
4,1.7554167342883506e-16,2.482534153247273e-16,0.0,2.237726045655905e-16,0.0,15,4003686532
4,7.850462293418876e-17,6.938893903907228e-17,0.0,1.9229626863835638e-16,0.0,16,2173502805
4,1.1775693440128313e-15,5.026748538604307e-16,0.0,2.9373740229761033e-16,0.0,17,4118399524
4,7.850462293418876e-17,2.2530044628618934e-16,0.0,2.7194799110210365e-16,0.0,18,1931094189
4,2.3551386880256624e-16,2.7194799110210365e-16,0.0,1.576213700060856e-16,0.0,19,3050811903
4,3.1401849173675503e-16,5.551115123125783e-17,0.0,2.463307335887066e-16,0.0,20,2886289302
4,3.8459253727671276e-16,1.5700924586837752e-16,0.0,2.7194799110210365e-16,0.0,21,1912730979
4,1.7554167342883506e-16,6.938893903907228e-17,0.0,2.482534153247273e-16,0.0,22,2995961577
4,9.813077866773594e-17,5.551115123125783e-17,0.0,1.9229626863835638e-16,0.0,23,1704801196
4,3.925231146709438e-16,2.2887833992611187e-16,0.0,2.7336071744532853e-16,0.0,24,1212480011
4,4.002966042486721e-16,1.1102230246251565e-16,0.0,2.7194799110210365e-16,0.0,25,2798852138
4,3.236828524569469e-16,0.0,0.0,1.9279638981753172e-16,0.0,26,1545585838
4,3.597533769998862e-16,1.3597399555105182e-16,0.0,2.220446049250313e-16,0.0,27,3300114978
4,5.438959822042073e-16,3.554447978966673e-16,0.0,1.5700924586837752e-16,0.0,28,1301135554
4,0.0,1.3877787807814457e-17,0.0,2.482534153247273e-16,0.0,29,19545504
4,6.329245045284193e-16,2.8609792490763985e-16,0.0,3.1401849173675503e-16,0.0,30,4065218328
4,4.1540741810552243e-16,8.326672684688674e-17,0.0,1.5700924586837752e-16,0.0,31,2480314353
4,2.9373740229761033e-16,2.3551386880256624e-16,0.0,2.3592239273284576e-16,0.0,32,1679575824
4,8.088366206921772e-17,2.712867962334927e-17,0.0,1.576213700060856e-16,0.0,33,1457280641
4,3.260541871072589e-16,5.551115123125783e-17,0.0,2.482534153247273e-16,0.0,34,2277647643
4,4.9962445388200385e-16,3.516999440976217e-16,0.0,2.7194799110210365e-16,0.0,35,1954518337
4,5.551115123125783e-17,3.3537189618722464e-16,0.0,2.220446049250313e-16,0.0,36,2494029493
4,1.7554167342883506e-16,2.5172027167143304e-16,0.0,2.220446049250313e-16,0.0,37,3514194780
4,1.962615573354719e-16,6.206335383118183e-17,0.0,2.9373740229761033e-16,0.0,38,1038638303
4,4.526797389797801e-16,2.2247786310271853e-16,0.0,3.0977323880395805e-16,0.0,39,494671628
4,5.551115123125783e-16,3.188872858294072e-16,0.0,2.486410087150353e-16,0.0,40,595126233
4,3.1646225226420963e-16,2.2247786310271853e-16,0.0,3.1401849173675503e-16,0.0,41,2358261891
4,1.5700924586837752e-16,1.9229626863835638e-16,0.0,2.482534153247273e-16,0.0,42,4278089783
4,8.95090418262362e-16,5.147892387644517e-16,0.0,2.9504581591051765e-16,0.0,43,2034297128
4,7.850462293418876e-17,1.5700924586837752e-16,0.0,2.9373740229761033e-16,0.0,44,3819569127
4,1.1102230246251565e-16,1.7554167342883506e-16,0.0,1.576213700060856e-16,0.0,45,137530914
4,7.850462293418876e-17,1.6653345369377348e-16,0.0,1.5700924586837752e-16,0.0,46,971354313
4,9.60078158997345e-16,4.996003610813204e-16,0.0,2.7336071744532853e-16,0.0,47,413455697
4,0.0,2.220446049250313e-16,0.0,2.607399605677454e-16,0.0,48,2628507396
4,1.056171682913856e-15,5.661048867003676e-16,0.0,1.576213700060856e-16,0.0,49,413483620
4,1.7554167342883506e-16,1.5700924586837752e-16,0.0,2.7194799110210365e-16,0.0,50,1162983390
4,2.220446049250313e-16,2.7755575615628914e-16,0.0,2.7336071744532853e-16,0.0,51,1125547055
4,7.850462293418876e-17,2.2887833992611187e-16,0.0,2.7203650143515583e-16,0.0,52,3339749446
4,7.850462293418876e-16,4.996003610813204e-16,0.0,1.5716250041522723e-16,0.0,53,1107560493
4,7.850462293418876e-17,2.3551386880256624e-16,0.0,2.220446049250313e-16,0.0,54,938322959
4,8.777083671441753e-17,1.1102230246251565e-16,0.0,1.9229626863835638e-16,0.0,55,223111968
4,1.962615573354719e-16,6.938893903907228e-17,0.0,2.9373740229761033e-16,0.0,56,440588268
4,1.9229626863835638e-16,2.5438405243138006e-16,0.0,2.9211424751029686e-16,0.0,57,3646352430
4,3.236828524569469e-16,1.1443916996305594e-16,0.0,2.4296039347076467e-16,0.0,58,2402600853
4,3.1646225226420963e-16,1.2719202621569003e-16,0.0,2.463307335887066e-16,0.0,59,3837186460
4,1.0175362097255202e-15,4.041272810440265e-16,0.0,2.9373740229761033e-16,0.0,60,2920403702
4,2.7194799110210365e-16,7.736788912175082e-16,0.0,2.220446049250313e-16,0.0,61,4231927014
4,7.021666937153402e-16,3.0531133177191805e-16,0.0,2.482534153247273e-16,0.0,62,6303667
